"id","name","week","arm","n","mean","sd","se","ci","median","iqr","type"
"exRNA000001","hsa-miR-92a-3p",24,"CG32",189,0.0232674438642761,0.350369422660501,0.0254856254053924,0.0502745424292226,0.0260326068408858,0.380221958597645,"MIR"
"exRNA000001","hsa-miR-92a-3p",24,"CG48",193,0.0366697708593987,0.379524113166542,0.0273187434446207,0.0538833937173204,0.0183350897486889,0.379011186620595,"MIR"
"exRNA000001","hsa-miR-92a-3p",24,"PB",78,0.0615800113037989,0.417697026195493,0.047294874999165,0.0941761277214316,0.0780904253006316,0.471152071291902,"MIR"
"exRNA000001","hsa-miR-92a-3p",24,"SP",126,-0.00866020296202947,0.304899760724491,0.0271626295700095,0.0537582150573532,-0.00544993120064241,0.366944080498887,"MIR"
"exRNA000002","hsa-miR-451a",24,"CG32",189,0.0827808353674692,0.740031432728132,0.0538293659860839,0.106187182035286,0.0511139575856667,0.67782309595631,"MIR"
"exRNA000002","hsa-miR-451a",24,"CG48",193,0.0141566481240011,0.822822419987231,0.0592280537975967,0.11682120549783,0.0731273167636708,0.750381655295026,"MIR"
"exRNA000002","hsa-miR-451a",24,"PB",78,-0.0646860700849293,1.01354308981637,0.114761156371503,0.228518657044608,-0.0812460489060705,1.20813035266796,"MIR"
"exRNA000002","hsa-miR-451a",24,"SP",126,0.159461215070559,0.709754185299116,0.0632299283385276,0.125139875611918,0.0754069774902444,0.648470271738976,"MIR"
"exRNA000003","hsa-miR-122-5p",24,"CG32",189,-0.55133808752784,1.4618837836739,0.106336398347843,0.209765845862986,-0.534596022008401,1.75124659684505,"MIR"
"exRNA000003","hsa-miR-122-5p",24,"CG48",193,-0.56248015172721,1.48349441880001,0.106784264880003,0.210620909377031,-0.609727232903275,1.55740107670774,"MIR"
"exRNA000003","hsa-miR-122-5p",24,"PB",78,0.0199233395214097,1.22538329018343,0.138747335749924,0.276281242160463,0.0882456638863864,1.6747446374887,"MIR"
"exRNA000003","hsa-miR-122-5p",24,"SP",126,-0.212167906020099,1.41690943232809,0.126228324853811,0.249821521010355,-0.208468109130158,1.69444418722829,"MIR"
"exRNA000004","hsa-let-7a-5p",24,"CG32",189,0.0248426052430131,0.577578353321145,0.0420126432359063,0.0828767739197979,0.0594646580865259,0.722852639620163,"MIR"
"exRNA000004","hsa-let-7a-5p",24,"CG48",193,0.0912649752886989,0.584389555338229,0.0420652806505483,0.0829694119613466,0.0830448157189956,0.752885114349747,"MIR"
"exRNA000004","hsa-let-7a-5p",24,"PB",78,0.0956317577577576,0.646456365117116,0.0731967695798705,0.145753389154148,-0.0043372232044927,0.847643672528639,"MIR"
"exRNA000004","hsa-let-7a-5p",24,"SP",126,0.017929295068486,0.535978462752729,0.0477487565312021,0.0945007152459084,0.0292443685677979,0.538771787537816,"MIR"
"exRNA000005","hsa-let-7b-5p",24,"CG32",189,0.066627960996313,0.511561602719602,0.0372106312237381,0.0734040239750269,0.0734050617507886,0.562407160765765,"MIR"
"exRNA000005","hsa-let-7b-5p",24,"CG48",193,0.0703622213223986,0.563903985692663,0.0405906970811545,0.0800609485029227,0.0489699216594381,0.574737494764836,"MIR"
"exRNA000005","hsa-let-7b-5p",24,"PB",78,0.182471545454927,0.887658555454306,0.100507539650288,0.200136080098308,0.0642394478011177,1.09244677665653,"MIR"
"exRNA000005","hsa-let-7b-5p",24,"SP",126,0.000769738171034453,0.454423053783287,0.0404832232359192,0.0801213231333928,-0.0130654095925449,0.54602935204927,"MIR"
"exRNA000006","hsa-miR-486-5p",24,"CG32",189,0.0406965780249942,0.910454487623259,0.0662258191483463,0.130641202706334,0.00451672243715961,0.69206718914878,"MIR"
"exRNA000006","hsa-miR-486-5p",24,"CG48",193,0.0365090543819158,0.779259984382464,0.056092361068668,0.110636376161447,0.0237112227777381,0.717024212556503,"MIR"
"exRNA000006","hsa-miR-486-5p",24,"PB",78,-0.120451776312148,0.840063087949379,0.0951184141717673,0.189404960301904,-0.105242959307775,1.04024124426175,"MIR"
"exRNA000006","hsa-miR-486-5p",24,"SP",126,0.0344081511125744,0.802716584997597,0.0715116771367193,0.141530484326611,0.00896657803544443,0.826669357894908,"MIR"
"exRNA000007","hsa-miR-21-5p",24,"CG32",189,-0.0066663101798431,0.592449364657795,0.0430943501424261,0.0850106167783806,-0.0107572074460265,0.703214891140176,"MIR"
"exRNA000007","hsa-miR-21-5p",24,"CG48",193,0.0660796220674709,0.619909878914337,0.0446220894887256,0.0880124527427322,0.0186958737526126,0.815228529719313,"MIR"
"exRNA000007","hsa-miR-21-5p",24,"PB",78,0.0305837241489889,0.615987807784804,0.0697468848067809,0.13888379093615,0.0358612409553762,0.78184497387104,"MIR"
"exRNA000007","hsa-miR-21-5p",24,"SP",126,-0.0253960026494217,0.548069230097502,0.0488258876966149,0.0966324915043887,-0.0807505186795119,0.596598816545583,"MIR"
"exRNA000008","hsa-let-7g-5p",24,"CG32",189,-0.0404337838178949,0.657098326542518,0.0477968701652365,0.0942871025875548,0.00787390132195931,0.825930752937456,"MIR"
"exRNA000008","hsa-let-7g-5p",24,"CG48",193,0.0414459270960674,0.703657798089396,0.0506503966201892,0.0999026645774037,0.0257184521614509,0.835836718360575,"MIR"
"exRNA000008","hsa-let-7g-5p",24,"PB",78,-0.00151369721059526,0.686854346700962,0.0777709402571889,0.154861726620615,-0.153898589406352,0.847691591863776,"MIR"
"exRNA000008","hsa-let-7g-5p",24,"SP",126,-0.0213566195129338,0.665341020360494,0.0592732891322751,0.117309195566532,0.0320323960415632,0.702178211422289,"MIR"
"exRNA000009","hsa-let-7f-5p",24,"CG32",189,0.0272789291978285,0.727486954522766,0.0529168894633885,0.104387173641291,0.0394614005900031,0.869349486148776,"MIR"
"exRNA000009","hsa-let-7f-5p",24,"CG48",193,0.0727607196519417,0.738176280504245,0.0531350913536042,0.104803467751582,0.0135979744777508,0.87494350124577,"MIR"
"exRNA000009","hsa-let-7f-5p",24,"PB",78,0.0044649502927757,0.715173341648948,0.080977435018155,0.161246673407178,-0.0657229224068558,0.975255543257703,"MIR"
"exRNA000009","hsa-let-7f-5p",24,"SP",126,0.0452710049860103,0.583549556515552,0.0519867263972636,0.102888183582842,0.0663571420543869,0.624265082969802,"MIR"
"exRNA000010","hsa-miR-423-5p",24,"CG32",189,-0.0131163590387071,0.415591569896017,0.0302298385275243,0.0596332746599579,-0.0183128158285779,0.474334549086766,"MIR"
"exRNA000010","hsa-miR-423-5p",24,"CG48",193,0.0515216485375437,0.396165658622216,0.0285166280982002,0.0562460972050413,0.0367642538115245,0.515738248486697,"MIR"
"exRNA000010","hsa-miR-423-5p",24,"PB",78,0.0996341141219375,0.51438696010064,0.0582428541585407,0.115976339343159,0.102612620674776,0.602544290395163,"MIR"
"exRNA000010","hsa-miR-423-5p",24,"SP",126,-0.0508923310921967,0.388630478853383,0.0346219548077917,0.0685211454754813,-0.0764577072726862,0.486098311755378,"MIR"
"exRNA000011","hsa-miR-26a-5p",24,"CG32",189,-0.0302058532518032,1.0324529205342,0.0750998993623205,0.14814676967364,0.058671391587545,1.15063679708513,"MIR"
"exRNA000011","hsa-miR-26a-5p",24,"CG48",193,0.118651125820291,1.06041982336358,0.0763306891263256,0.150554383412465,0.0141123360668907,1.2556217722975,"MIR"
"exRNA000011","hsa-miR-26a-5p",24,"PB",78,0.0391476897149314,0.992491892760475,0.112377577674739,0.223772345487923,0.0783774831080528,1.22681900713057,"MIR"
"exRNA000011","hsa-miR-26a-5p",24,"SP",126,0.00930525016194641,0.843832889161915,0.0751746086413208,0.148779880378536,-0.0556624625303632,1.01697998159037,"MIR"
"exRNA000012","hsa-miR-223-3p",24,"CG32",189,-0.212714538037516,1.31568367743739,0.0957019054361061,0.18878757844361,-0.0931089677306058,1.83651879527753,"MIR"
